m49_code,country,region,cpc_code,commodity,year,loss_percentage,loss_percentage_original,loss_quantity,activity,food_supply_stage,treatment,cause_of_loss,sample_size,method_data_collection,reference,url,notes
591,Panama,,21113.01,"Meat of pig, fresh or chilled",2017,3.27,3.27%,1323,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21121,"Meat of chickens, fresh or chilled",2017,1.05,1.05%,2087,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,231,"Hen eggs in shell, fresh",2016,5.01,5.01%,1794,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21111.01,"Meat of cattle, fresh or chilled",2016,5.18,5.18%,3678,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21113.01,"Meat of pig, fresh or chilled",2016,3.28,3.28%,1289,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21121,"Meat of chickens, fresh or chilled",2016,1.06,1.06%,2028,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,231,"Hen eggs in shell, fresh",2015,5.02,5.02%,1793,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21111.01,"Meat of cattle, fresh or chilled",2015,5.05,5.05%,4088,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21113.01,"Meat of pig, fresh or chilled",2015,5,5%,1798,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21121,"Meat of chickens, fresh or chilled",2015,1.06,1.06%,1901,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,231,"Hen eggs in shell, fresh",2014,5.03,5.03%,1791,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21111.01,"Meat of cattle, fresh or chilled",2014,5.04,5.04%,4181,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21113.01,"Meat of pig, fresh or chilled",2014,5,5%,1712,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21121,"Meat of chickens, fresh or chilled",2014,1.05,1.05%,1772,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,231,"Hen eggs in shell, fresh",2012,5.01,5.01%,1275,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21113.01,"Meat of pig, fresh or chilled",2012,5,5%,1720,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21121,"Meat of chickens, fresh or chilled",2012,1.05,1.05%,1523,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,231,"Hen eggs in shell, fresh",2011,5.01,5.01%,1269,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21111.01,"Meat of cattle, fresh or chilled",2011,4.99,4.99%,4307,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21113.01,"Meat of pig, fresh or chilled",2011,5,5%,1616,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21121,"Meat of chickens, fresh or chilled",2011,1.05,1.05%,1432,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,231,"Hen eggs in shell, fresh",2010,5.01,5.01%,1233,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21111.01,"Meat of cattle, fresh or chilled",2010,4.99,4.99%,3957,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21113.01,"Meat of pig, fresh or chilled",2010,5,5%,1477,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21121,"Meat of chickens, fresh or chilled",2010,1.05,1.05%,1326,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,231,"Hen eggs in shell, fresh",2009,5,5%,1198,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21111.01,"Meat of cattle, fresh or chilled",2009,5,5%,3727,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21113.01,"Meat of pig, fresh or chilled",2009,2.77,2.77%,866,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21121,"Meat of chickens, fresh or chilled",2009,1.05,1.05%,1244,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,231,"Hen eggs in shell, fresh",2008,5.01,5.01%,1216,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21111.01,"Meat of cattle, fresh or chilled",2008,2.18,2.18%,1483,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21113.01,"Meat of pig, fresh or chilled",2008,2.63,2.63%,913,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21121,"Meat of chickens, fresh or chilled",2008,1.04,1.04%,1191,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,231,"Hen eggs in shell, fresh",2007,5.01,5.01%,1412,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21111.01,"Meat of cattle, fresh or chilled",2007,2.15,2.15%,1404,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
